iter	Passed	Remaining
442	1300	1635
443	1302	1630
444	1304	1626
445	1305	1622
446	1307	1617
447	1309	1613
448	1311	1609
449	1314	1607
450	1317	1603
451	1319	1599
452	1320	1595
453	1322	1590
454	1324	1586
455	1328	1584
456	1331	1582
457	1333	1578
458	1335	1574
459	1337	1569
460	1339	1565
461	1340	1561
462	1342	1557
463	1346	1554
464	1348	1551
465	1350	1547
466	1351	1542
467	1353	1538
468	1355	1534
469	1357	1530
470	1374	1544
471	1396	1562
472	1398	1558
473	1400	1553
474	1401	1549
475	1404	1545
476	1406	1542
477	1409	1539
478	1411	1535
479	1413	1530
480	1414	1526
481	1416	1522
482	1418	1518
483	1420	1514
484	1422	1510
485	1424	1506
486	1425	1502
487	1427	1497
488	1429	1493
489	1431	1489
490	1433	1486
491	1435	1482
492	1437	1478
493	1439	1474
494	1441	1470
495	1442	1466
496	1444	1462
497	1450	1461
498	1452	1457
499	1453	1453
500	1455	1449
501	1477	1466
502	1483	1465
503	1485	1461
504	1487	1457
505	1488	1453
506	1490	1449
507	1492	1445
508	1494	1441
509	1496	1438
510	1498	1434
511	1500	1430
512	1503	1427
513	1505	1423
514	1506	1419
515	1508	1415
516	1525	1424
517	1528	1422
518	1530	1418
519	1532	1414
520	1534	1410
521	1536	1406
522	1537	1402
523	1539	1398
524	1541	1394
525	1544	1391
526	1545	1387
527	1547	1383
528	1549	1379
529	1551	1375
530	1553	1371
531	1566	1378
532	1568	1374
533	1570	1370
534	1572	1366
535	1575	1364
536	1577	1360
537	1579	1356
538	1581	1352
539	1583	1348
540	1584	1344
541	1586	1340
542	1589	1337
543	1591	1334
544	1593	1330
545	1595	1326
546	1597	1322
547	1617	1333
548	1621	1331
549	1623	1328
550	1625	1324
551	1627	1320
552	1628	1316
553	1630	1312
554	1632	1308
555	1634	1305
556	1637	1302
557	1642	1300
558	1643	1296
559	1645	1293
560	1647	1289
561	1649	1285
562	1654	1284
563	1656	1280
564	1658	1276
565	1659	1272
566	1661	1268
567	1663	1265
568	1665	1261
569	1668	1259
570	1671	1255
571	1673	1252
572	1675	1248
573	1677	1244
574	1679	1241
575	1681	1237
576	1686	1236
577	1688	1232
578	1689	1228
579	1691	1225
580	1693	1221
581	1695	1217
582	1697	1214
583	1700	1211
584	1702	1207
585	1704	1203
586	1705	1200
587	1707	1196
588	1709	1192
589	1720	1195
590	1722	1191
591	1724	1188
592	1726	1184
593	1727	1180
594	1729	1177
595	1732	1174
596	1734	1170
597	1735	1166
598	1737	1163
599	1739	1159
600	1741	1156
601	1742	1152
602	1746	1150
603	1748	1146
604	1756	1146
605	1758	1143
606	1760	1139
607	1762	1136
608	1765	1133
609	1767	1129
610	1769	1126
611	1771	1123
612	1773	1119
613	1777	1117
614	1779	1113
615	1782	1111
616	1785	1108
617	1786	1104
618	1788	1100
619	1813	1111
620	1815	1108
621	1818	1104
622	1819	1101
623	1821	1097
624	1823	1094
625	1826	1091
626	1828	1087
627	1830	1084
628	1832	1080
629	1833	1076
630	1835	1073
631	1837	1069
632	1839	1066
633	1841	1062
634	1852	1064
635	1854	1061
636	1857	1058
637	1859	1055
638	1861	1051
639	1863	1048
640	1865	1044
641	1867	1041
642	1869	1037
643	1877	1037
644	1880	1035
645	1882	1031
646	1884	1028
647	1886	1024
648	1888	1021
649	1899	1022
650	1901	1019
651	1904	1016
652	1906	1013
653	1908	1009
654	1910	1006
655	1912	1002
656	1914	999
657	1919	997
658	1921	994
659	1923	990
660	1924	987
661	1926	983
662	1928	980
663	1930	976
664	1940	977
665	1942	974
666	1944	970
667	1946	967
668	1951	965
669	1953	962
670	1956	959
671	1957	955
672	1959	952
673	1961	948
674	1963	945
675	1965	942
676	1967	938
677	1969	935
678	1971	931
679	1973	928
680	1975	925
681	1977	921
682	1980	919
683	1982	916
684	1984	912
685	1986	909
686	1988	905
687	1989	902
688	1991	898
689	1998	897
690	2000	894
691	2002	891
692	2006	888
693	2008	885
694	2010	882
695	2012	879
696	2014	875
697	2016	872
698	2018	869
699	2020	865
700	2022	862
701	2023	859
702	2029	857
703	2031	854
704	2033	850
705	2035	847
706	2036	844
707	2038	840
708	2040	837
709	2042	834
710	2044	830
711	2046	827
712	2047	824
713	2049	821
714	2051	817
715	2053	814
716	2055	811
717	2058	808
718	2060	805
719	2062	801
720	2064	798
721	2066	795
722	2067	792
723	2069	788
724	2071	785
725	2074	782
726	2076	779
727	2078	776
728	2080	773
729	2081	770
730	2083	766
731	2085	763
732	2087	760
733	2089	757
734	2091	754
735	2093	750
736	2095	747
737	2096	744
738	2098	741
739	2100	738
740	2102	734
741	2105	731
742	2106	728
743	2108	725
744	2110	722
745	2112	719
746	2114	716
747	2115	712
748	2117	709
749	2120	706
750	2122	703
751	2123	700
752	2125	697
753	2127	694
754	2129	690
755	2130	687
756	2132	684
757	2135	681
758	2137	678
759	2139	675
760	2140	672
761	2142	669
762	2144	666
763	2146	662
764	2147	659
765	2150	656
766	2152	653
767	2154	650
768	2156	647
769	2158	644
770	2159	641
771	2161	638
772	2163	635
773	2166	632
774	2168	629
775	2170	626
776	2172	623
777	2179	621
778	2182	619
779	2184	616
780	2189	613
781	2191	610
782	2192	607
783	2197	605
784	2199	602
785	2201	599
786	2203	596
787	2204	593
788	2206	590
789	2208	587
790	2215	585
791	2216	582
792	2226	581
793	2238	580
794	2240	577
795	2242	574
796	2244	571
797	2246	568
798	2248	565
799	2250	562
800	2271	564
801	2273	561
802	2275	558
803	2278	555
804	2280	552
805	2281	549
806	2283	546
807	2285	543
808	2287	540
809	2289	536
810	2294	534
811	2295	531
812	2297	528
813	2299	525
814	2301	522
815	2303	519
816	2304	516
817	2306	513
818	2309	510
819	2311	507
820	2313	504
821	2315	501
822	2316	498
823	2318	495
824	2320	492
825	2322	489
826	2325	486
827	2326	483
828	2328	480
829	2330	477
830	2332	474
831	2333	471
832	2335	468
833	2337	465
834	2339	462
835	2341	459
836	2343	456
837	2345	453
838	2347	450
839	2349	447
840	2351	444
841	2352	441
842	2355	438
843	2357	435
844	2359	432
845	2361	429
846	2363	426
847	2364	423
848	2366	420
849	2368	417
850	2371	415
851	2373	412
852	2374	409
853	2376	406
854	2378	403
855	2380	400
856	2382	397
857	2384	394
858	2386	391
859	2387	388
860	2389	385
861	2391	382
862	2393	379
863	2394	376
864	2396	374
865	2398	371
866	2401	368
867	2403	365
868	2405	362
869	2407	359
870	2409	356
871	2410	353
872	2412	350
873	2415	348
874	2417	345
875	2419	342
876	2421	339
877	2422	336
878	2424	333
879	2426	330
880	2427	327
881	2430	325
882	2433	322
883	2434	319
884	2436	316
885	2438	313
886	2440	310
887	2442	308
888	2443	305
889	2447	302
890	2449	299
891	2451	296
892	2453	293
893	2454	291
894	2456	288
895	2458	285
896	2460	282
897	2462	279
898	2464	276
899	2466	274
900	2468	271
901	2470	268
902	2471	265
903	2473	262
904	2478	260
905	2480	257
906	2482	254
907	2484	251
908	2486	248
909	2487	246
910	2489	243
911	2491	240
912	2494	237
913	2496	234
914	2498	232
915	2500	229
916	2501	226
917	2503	223
918	2505	220
919	2511	218
920	2513	215
921	2515	212
922	2517	210
923	2519	207
924	2521	204
925	2525	201
926	2527	199
927	2529	196
928	2531	193
929	2533	190
930	2535	187
931	2536	185
932	2539	182
933	2541	179
934	2543	176
935	2545	174
936	2547	171
937	2551	168
938	2552	165
939	2554	163
940	2556	160
941	2558	157
942	2560	154
943	2562	152
944	2564	149
945	2566	146
946	2568	143
947	2570	140
948	2572	138
949	2574	135
950	2576	132
951	2582	130
952	2583	127
953	2585	124
954	2587	121
955	2589	119
956	2590	116
957	2595	113
958	2597	111
959	2599	108
960	2601	105
961	2603	102
962	2605	100
963	2606	97
964	2608	94
965	2611	91
966	2619	89
967	2620	86
968	2622	83
969	2624	81
970	2627	78
971	2629	75
972	2630	73
973	2632	70
974	2634	67
975	2636	64
976	2638	62
977	2639	59
978	2642	56
979	2643	53
980	2645	51
981	2647	48
982	2649	45
983	2651	43
984	2652	40
985	2654	37
986	2657	35
987	2659	32
988	2661	29
989	2662	26
990	2664	24
991	2666	21
992	2668	18
993	2670	16
994	2675	13
995	2677	10
996	2679	8
997	2680	5
998	2682	2
999	2684	0
